area_name,year,sub_group_name,economic_set_up_annual_income_250001_to_50000,economic_set_up_annual_income_upto_rs_25000,economic_set_up_middle_income_from_100001_to_200000,economic_set_up_middle_income_from_50001_to_100000,Salary,Crime rate,Literacy rate,Criminal activities
Andaman & Nicobar Islands,2001,2. Economic Setup,12,4,0,0,16,167,70,115
Andhra Pradesh,2001,2. Economic Setup,104,1421,9,27,1565,65,46,444
Arunachal Pradesh,2001,2. Economic Setup,38,99,0,0,137,193,41,451
Assam,2001,2. Economic Setup,47,177,13,16,253,196,43,207
Bihar,2001,2. Economic Setup,213,303,12,58,586,174,73,350
Chandigarh,2001,2. Economic Setup,40,29,0,2,71,34,27,74
Chhattisgarh,2001,2. Economic Setup,224,1071,19,43,1362,199,59,363
Dadra & Nagar Haveli,2001,2. Economic Setup,0,2,0,0,2,78,63,478
Daman & Diu,2001,2. Economic Setup,0,2,0,0,2,195,24,429
Delhi,2001,2. Economic Setup,129,686,0,40,858,81,80,173
Goa,2001,2. Economic Setup,28,62,1,1,93,52,32,217
Gujarat,2001,2. Economic Setup,711,3332,9,306,4370,75,33,340
Haryana,2001,2. Economic Setup,502,1086,86,339,2015,152,56,220
Himachal Pradesh,2001,2. Economic Setup,32,84,0,26,142,132,35,325
Jammu & Kashmir,2001,2. Economic Setup,1,1,0,0,2,45,78,132
Jharkhand,2001,2. Economic Setup,35,248,3,11,298,27,73,429
Karnataka,2001,2. Economic Setup,42,736,11,51,843,38,85,256
Kerala,2001,2. Economic Setup,1,127,0,4,132,115,73,329
Lakshadweep,2001,2. Economic Setup,0,1,0,0,1,58,75,294
Madhya Pradesh,2001,2. Economic Setup,1797,2451,293,2625,7328,33,66,119
Maharashtra,2001,2. Economic Setup,314,4626,4,46,4990,192,75,454
Manipur,2001,2. Economic Setup,0,0,0,0,0,123,77,391
Meghalaya,2001,2. Economic Setup,7,56,0,3,66,60,86,72
Mizoram,2001,2. Economic Setup,6,41,0,2,49,25,41,227
Nagaland,2001,2. Economic Setup,0,26,0,0,26,178,81,62
Odisha,2001,2. Economic Setup,23,188,0,1,212,39,63,125
Puducherry,2001,2. Economic Setup,0,3,0,0,3,99,61,455
